FAC_ID,FREQ,CALL,STATE,CITY,PWR_D,PWR_N,PWR_C,MODE,LAT,LON,STATUS,CALL_HIST,County,FIPS
74245,850,WXJC,AL,BIRMINGHAM,50000,1000,,,33.6237,-86.7458,LICEN,"WYDE, WMKI, WYDE, WDJC",Jefferson,01073
40997,1470,KYYW,TX,ABILENE,5000,110,,,32.4923,-99.7523,LICEN,"KRBC, KFQX, KNTS, KBBA, KEAN, KVVZ",Taylor,48441
40045,1490,WMBM,FL,MIAMI BEACH,1000,1000,,,25.7698,-80.1362,LICEN,"WMBM, WSBH",Miami-Dade,12086
15840,1540,KMCP,KS,MCPHERSON,250,2,,,38.3386,-97.6684,LICEN,"KNEX, KNGL",McPherson,20113
71093,1410,WNER,NY,WATERTOWN,3500,58,,,43.9464,-75.9474,LICEN,"WOTT, WNCQ, WCIZ, WUZZ, WGME",Jefferson,36045
31138,960,WFIR,VA,ROANOKE,10000,,,,37.3026,-80.04,LICEN,,Salem,51775
56521,1230,WSKY,NC,ASHEVILLE,1000,1000,,,35.619,-82.5718,LICEN,,Buncombe,37021
70720,1490,KHVL,TX,HUNTSVILLE,1000,1000,,,30.6969,-95.5524,LICEN,KSAM,Walker,48471
12967,550,KTZN,AK,ANCHORAGE,5000,5000,,,61.1656,-149.8283,LICEN,KENI,Anchorage,02020
46754,1190,KDAO,IA,MARSHALLTOWN,250,20,,,42.0714,-92.9221,LICEN,,Marshall,19127
44001,1240,WKEZ,WV,BLUEFIELD,1000,1000,,,37.2659,-81.1887,LICEN,WKOY,Mercer,54055
3711,1280,KLDY,WA,LACEY,1000,500,,,47.062,-122.8315,LICEN,KTOL,Thurston,53067
29689,1330,WYPC,OH,WELLSTON,500,50,,,39.1062,-82.5788,LICEN,"WKOV, WYPC, WJTD",Jackson,39079
74208,1420,WXGM,VA,GLOUCESTER,740,58,,,37.4101,-76.5474,LICEN,WDDY,Gloucester,51073
49956,550,KNUI,HI,WAILUKU,1000,1000,,,20.7886,-156.4642,LICEN,KMVI,Maui,15009
41902,550,WSAU,WI,WAUSAU,15000,20000,,,44.8572,-89.5871,LICEN,,Marathon,55073
18518,980,KKMS,MN,RICHFIELD,5000,5000,,,44.7883,-93.2152,LICEN,"KMZZ, KRXX, KEGE",Dakota,27037
53104,1030,WDRU,NC,CREEDMOOR,50000,,,,36.1787,-78.7581,LICEN,"WBZN, WFTK",Granville,37077
73096,940,WMIX,IL,MOUNT VERNON,,1500,,,38.3542,-89.0081,LICEN,,Jefferson,17081
72030,1140,KNWQ,CA,PALM SPRINGS,10000,2500,,,33.8609,-116.4731,LICEN,"KCMJ, KNWZ",Riverside,06065
542,1290,KOIL,NE,OMAHA,5000,5000,,,41.1889,-96.0061,LICEN,"KOIL, KKAR",Sarpy,31153
6146,720,WJIB,MA,CAMBRIDGE,5000,189,,,42.4068,-71.0867,LICEN,"WLVG, WWEA",Middlesex,25017
71286,1050,WVXX,VA,NORFOLK,5000,358,,,36.829,-76.2069,LICEN,"WCMS, WFOG, WXMM, WCMS",Virginia Beach,51810
5298,1230,KHDN,MT,HARDIN,1000,1000,,,45.7152,-107.6004,LICEN,"KYTY, KBSR, KKUL",Big Horn,30003
202,1230,KBZZ,NV,RENO,1000,1000,,,39.5138,-119.716,LICEN,"KCBN, KRNO, KCBN, KPLY, KJFK, KSGG, KBZZ, KZTQ",Washoe,32031
54553,1450,WCUM,CT,BRIDGEPORT,1000,1000,,,41.2195,-73.2018,LICEN,"WNAB, WJBX",Fairfield,09001
23265,1480,WJBM,IL,JERSEYVILLE,500,32,,,39.1128,-90.3121,LICEN,,Jersey,17083
73032,1500,WPOT,TN,TRENTON,250,6,,,35.9812,-88.9256,LICEN,WTNE,Gibson,47053
53651,1590,KMOZ,MO,ROLLA,1000,85,,,37.9445,-91.8118,LICEN,KCLU,Phelps,29161
65202,540,WKFN,TN,CLARKSVILLE,4000,55,,,36.542,-87.3256,LICEN,"WDXN, WJQI",Montgomery,47125
33469,1240,WSYY,ME,MILLINOCKET,1000,1000,,,45.6734,-68.7181,LICEN,WMKR,Penobscot,23019
54901,1460,WBNS,OH,COLUMBUS,5000,1000,,,39.9517,-82.9063,LICEN,,Franklin,39049
129513,870,KJMP,CO,PIERCE,1200,320,,,40.6069,-104.6891,LICEN,,Weld,08123
35214,1070,WWCD,FL,SOLANA,1800,233,,,26.8939,-82.0506,LICEN,WKII,Charlotte,12015
72372,1290,WNBF,NY,BINGHAMTON,9300,5000,,,42.0581,-75.9538,LICEN,,Broome,36007
51639,1400,KNRO,CA,REDDING,1000,1000,,,40.5585,-122.3311,LICEN,KQMS,Shasta,06089
71289,900,WKDA,TN,LEBANON,5000,136,,,36.2067,-86.2672,LICEN,WCOR,Wilson,47189
